long,lat,nro_registro,tipo_activ,comuna,U46,calle,calle_altura,calle_chapa,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol,ultima_actualizacion
-58.37856289,-34.59490232,26779,Lineal,1,No corresponde,Esmeralda,1000,0.0,,Tipuana tipu,5.5,Ocupada,Regular,A nivel,88.0,34.0,2012-03-02
-58.38153203,-34.5923187,30887,Lineal,1,manzana,Pellegrini Carlos,1300,0.0,Exacta,Peltophorum dubium,4.5,Ocupada,Regular,Elevada,6.0,5.0,2006-02-05
-58.37910316,-34.5919391,30904,Lineal,1,E,Arroyo,800,0.0,Exacta,Fraxinus pennsylvanica,4,Ocupada,Regular,A nivel,7.0,6.0,2009-08-16
-58.38070957,-34.591548,31336,Lineal,1,E,Arroyo,900,0.0,LD,Fraxinus pennsylvanica,,Ocupada,Regular,A nivel,9.0,29.0,2010-11-27
-58.38070957,-34.591548,31337,Lineal,1,E,Arroyo,900,0.0,LA,Jacaranda mimosifolia,,Ocupada,Regular,A nivel,13.0,8.0,2002-10-21
-58.38104321,-34.59158395,31344,Lineal,1,E,Arroyo,900,0.0,Exacta,Fraxinus pennsylvanica,3.5,Ocupada,Regular,A nivel,29.0,15.0,2009-01-24
-58.38096779,-34.59157583,31346,Lineal,1,E,Arroyo,900,0.0,LA,Fraxinus pennsylvanica,4.5,Ocupada,Regular,A nivel,21.0,12.0,2022-10-16
-58.37335616,-34.59487138,31864,Lineal,1,E,Reconquista,1100,0.0,En frente,Jacaranda mimosifolia,,Ocupada,,A nivel,8.0,3.0,2004-02-16
-58.38081168,-34.591559,31354,Lineal,1,E,Arroyo,900,0.0,Exacta,Jacaranda mimosifolia,,Ocupada,Regular,A nivel,38.0,15.0,2022-07-10
-58.37983917,-34.5928205,32142,Lineal,1,E,Juncal,800,0.0,Exacta,Tilia x moltkei,2.8,Ocupada,Regular,A nivel,25.0,12.0,2001-03-01
-58.38070957,-34.591548,31374,Lineal,1,E,Arroyo,900,0.0,Exacta,Fraxinus pennsylvanica,4.5,Ocupada,Regular,A nivel,22.0,13.0,2001-04-09
-58.38088264,-34.59156665,31375,Lineal,1,E,Arroyo,900,0.0,Exacta,Fraxinus pennsylvanica,4.5,Ocupada,Regular,A nivel,28.0,15.0,2001-11-28
-58.38294909,-34.5929798,32187,Lineal,1,E,Cerrito,1200,0.0,Exacta,Fraxinus pennsylvanica,6,Ocupada,Fuera de lÃÂ­nea,A nivel,45.0,12.0,2013-11-09
-58.38294834,-34.59299657,32192,Lineal,1,E,Cerrito,1200,0.0,Exacta,Ficus benjamina,,Ocupada,Regular,A nivel,60.0,11.0,2017-12-20
-58.38150379,-34.59171923,31404,Lineal,1,E,Pellegrini Carlos,1300,0.0,Exacta,Liquidambar styraciflua,4.5,Ocupada,Regular,Elevada,25.0,10.0,2005-07-30
-58.38150379,-34.59171923,31406,Lineal,1,E,Pellegrini Carlos,1300,0.0,LA,No identificado,4.5,Ocupada,Regular,Elevada,50.0,7.0,2010-04-05
-58.38153596,-34.59240198,31407,Lineal,1,E,Pellegrini Carlos,1300,0.0,Exacta,Phoenix loureiri,4.5,Ocupada,Regular,Elevada,15.0,3.0,2000-08-13
-58.38154711,-34.59263867,31411,Lineal,1,E,Pellegrini Carlos,1300,0.0,Exacta,Phoenix roebelenii,7,Ocupada,Regular,Elevada,15.0,3.0,2020-12-28
-58.38151464,-34.59194952,31413,Lineal,1,E,Pellegrini Carlos,1300,0.0,LD,No identificado,7,Ocupada,Regular,Elevada,110.0,21.0,2012-02-08
-58.38151464,-34.59194952,31414,Lineal,1,E,Pellegrini Carlos,1300,0.0,LD,Phoenix roebelenii,7,Ocupada,Regular,Elevada,15.0,3.0,2007-11-13
-58.37916495,-34.59186292,31415,Lineal,1,E,Arroyo,800,0.0,Exacta,Fraxinus pennsylvanica,4,Ocupada,Regular,A nivel,23.0,18.0,2016-07-03
-58.37889028,-34.59220154,31418,Lineal,1,E,Arroyo,800,0.0,Exacta,Fraxinus pennsylvanica,4,Ocupada,Regular,A nivel,28.0,28.0,2018-04-19
-58.37928687,-34.59171262,32146,Lineal,1,E,Arroyo,800,0.0,Exacta,Fraxinus pennsylvanica,4,Ocupada,Regular,A nivel,8.0,11.0,2016-10-07
-58.379281,-34.59169328,32147,Lineal,1,E,Arroyo,800,0.0,Exacta,Fraxinus pennsylvanica,4,Ocupada,Regular,A nivel,10.0,15.0,2015-01-22
-58.37959732,-34.59145868,32148,Lineal,1,E,Arroyo,800,0.0,Exacta,Tilia x moltkei,4,Ocupada,Regular,A nivel,20.0,12.0,2020-05-09
-58.37972596,-34.59142197,32150,Lineal,1,E,Arroyo,800,0.0,LD,Tilia x moltkei,4,Ocupada,Regular,A nivel,25.0,16.0,2009-12-22
-58.37980287,-34.59147533,32151,Lineal,1,E,Arroyo,800,0.0,Exacta,Fraxinus pennsylvanica,4,Ocupada,Regular,A nivel,15.0,16.0,2012-02-18
-58.37980287,-34.59147533,32152,Lineal,1,E,Arroyo,800,0.0,Exacta,Fraxinus pennsylvanica,4,Ocupada,Regular,A nivel,10.0,9.0,2005-03-14
