calle,comuna,altura_inicial,altura_final
1 DE AGOSTO DIA DE LA PACHAMAMA,8,3902,3951
10 DE DICIEMBRE DE 1983,4,0,1
10 DE ENERO DE 2001,8,4252,4301
10 DE OCTUBRE DE 1996,4,0,1
11 DE MAYO DE 1974,1,452,651
11 DE SEPTIEMBRE DE 1888,13,0,4901
11 DE SEPTIEMBRE DE 1888,14,702,1401
12 DE OCTUBRE,15,0,1901
14 DE ABRIL,8,0,1
14 DE JULIO,15,0,1701
14 DE SEPTIEMBRE,7,0,1
15 DE NOVIEMBRE DE 1889,1,1102,1801
15 DE NOVIEMBRE DE 1889,4,0,2701
17 DE OCTUBRE,8,0,1
18 DE OCTUBRE DE 1908,8,0,4701
1RO DE MAYO,4,1802,2001
2 DE ABRIL DE 1982,8,6402,7001
20 DE FEBRERO,12,5602,6101
20 DE JUNIO,4,0,1
20 DE SEPTIEMBRE,4,2,101
20 DE SETIEMBRE,4,0,601
23 DE AGOSTO DE 1997,4,0,1
23 DE JUNIO,8,4202,4601
24 DE NOVIEMBRE,3,0,1601
24 DE NOVIEMBRE,4,1602,2301
25 DE MAYO,1,2,801
3 DE ABRIL,4,0,1
3 DE DICIEMBRE DE 2009,1,452,651
3 DE FEBRERO,13,0,4901
3 DE FEBRERO,14,702,1401
5 DE JULIO,1,402,501
8 DE DICIEMBRE,4,2,211
8 DE JULIO DE 2008,4,0,1
8 DE MARZO,1,1702,1801
8 DE MARZO DE 1908,8,4352,4401
A. MAGARIÃOS CERVANTES,10,3802,5701
A. MAGARIÃOS CERVANTES,11,0,3801
ABRAHAM J. LUPPI,4,0,1991
ACASSUSO,9,0,7631
ACASSUSO,10,5102,5601
ACCESO DOT,12,0,1
ACCESO MAIPU,1,0,1
ACCESO NORTE - PANAMERICANA,0,0,1
ACCESO NORTE - PANAMERICANA,12,0,1
ACCESO PARQUE DE LOS NIÃOS,13,0,1
ACCESO WILSON,0,0,1
ACEVEDO,15,2,1201
ACHALA,4,0,3701
ACHAVAL,6,202,501
ACHAVAL,7,502,957
ACHEGA,12,2902,3601
ACHIRA,12,4902,5001
ACHUPALLAS,11,1602,1701
ACONCAGUA,9,0,6001
ACONCAGUA,10,5602,5651
ACOSTA ÃU,4,0,1
ACOYTE,6,0,1101
ACOYTE,15,1102,1711
ADOLFO ALSINA,1,0,1801
ADOLFO ALSINA,3,1802,3301
ADOLFO BIOY CASARES,2,2002,2101
ADOLFO GONZALES CHAVES,9,202,301
ADOLFO P. CARRANZA,11,2202,3201
ADOLFO P. CARRANZA,15,2002,2201
ADOLFO SALDIAS,4,2202,2301
AEROLINEAS ARGENTINAS,14,0,1
AGACES,4,0,301
AGENTE CEFERINO GARCIA,11,2102,2301
AGENTE DOMINGO DEDICO,11,2102,2201
AGRELO,3,3002,3301
AGRELO,5,3302,4401
AGUAI,1,2002,2051
AGUARA GUAZU,1,1602,2451
